CD_SETOR,CD_FCU,NM_FCU,CD_MUN,NM_MUN,CD_UF,NM_UF,total_fcu_mun,total_setores_mun,total_fcu_uf,total_setores_uf,total_municipios_uf
150140250000191,15014020194,Universitário - Perimetral,1501402,Belém,15,Pará,214,1156,723,2460,43
355030830001582,35503081340,Alto da Alegria,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
351380105000425,35138010135,Caviúna,3513801,Diadema,35,São Paulo,109,203,3123,7995,92
520110805000267,52011080020,Jardim Esperança,5201108,Anápolis,52,Goiás,6,12,152,242,24
292740805270397,29274080347,Ferreira Santos,2927408,Salvador,29,Bahia,262,1822,572,2484,28
320490605000095,32049060017,Santa Teresa,3204906,São Mateus,32,Espírito Santo,28,54,516,1194,49
250180705000158,25018070024,Baralho A,2501807,Bayeux,25,Paraíba,23,38,282,572,12
150140245000529,15014020080,Cabanagem - Coqueiro,1501402,Belém,15,Pará,214,1156,723,2460,43
260790105000459,26079010003,Mercado Velho de Prazeres,2607901,Jaboatão dos Guararapes,26,Pernambuco,132,567,849,2381,33
280670105000264,28067010003,Loteamento recanto dos Pássaros,2806701,São Cristóvão,28,Sergipe,14,24,185,410,12
355030846000490,35503082040,Parque Europa III,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
110020505090140,11002050061,Fora do Perímetro III,1100205,Porto Velho,11,Rondônia,68,115,74,122,3
130260305100047,13026030097,Comunidade da Sharp,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
352940105001027,35294010003,Jardim Oratório,3529401,Mauá,35,São Paulo,60,211,3123,7995,92
150080005000699,15008000053,Jarderlândia,1500800,Ananindeua,15,Pará,124,448,723,2460,43
430060405040011,43006040016,Rua São Manoel,4300604,Alvorada,43,Rio Grande do Sul,10,37,481,901,53
130260305140460,13026030281,Zumbi dos Palmares/Nova Luz,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
150680705000131,15068070034,São Francisco,1506807,Santarém,15,Pará,39,122,723,2460,43
261160605190465,26116060805,Chagas Ferreira,2611606,Recife,26,Pernambuco,295,779,849,2381,33
211130005001709,21113000079,João de Deus,2111300,São Luís,21,Maranhão,100,548,198,872,14
250400905000623,25040090024,Tambor 1 /  Rua do Juá,2504009,Campina Grande,25,Paraíba,23,51,282,572,12
355030836000350,35503080147,Jardim Campos I,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
211130005001298,21113000057,Vila São Raimundo,2111300,São Luís,21,Maranhão,100,548,198,872,14
230440005200413,23044000380,Labirinto ou Ocupação Novo Alagadiço,2304400,Fortaleza,23,Ceará,503,1321,702,1697,30
431440705180032,43144070054,Dunas,4314407,Pelotas,43,Rio Grande do Sul,36,72,481,901,53
221100105080274,22110010181,Vila Padre Humberto,2211001,Teresina,22,Piauí,170,369,173,372,3
130260305120224,13026030002,Santa Etelvina,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
354870805002080,35487080050,Victor Brecheret/Jardim Represa,3548708,São Bernardo do Campo,35,São Paulo,94,305,3123,7995,92
351380105000922,35138010130,Santo Antônio/Margaridas,3513801,Diadema,35,São Paulo,109,203,3123,7995,92
211130005001967,21113000044,Novo Angelim,2111300,São Luís,21,Maranhão,100,548,198,872,14
500790105000108,50079010001,Acampamento Jatobá,5007901,Sidrolândia,50,Mato Grosso do Sul,1,2,31,41,8
150680705000597,15068070017,Jutaí,1506807,Santarém,15,Pará,39,122,723,2460,43
352900505000531,35290050013,Jardim Virginia (Bugrinho),3529005,Marília,35,São Paulo,13,19,3123,7995,92
530010805370112,53001080089,26 de Setembro,5300108,Brasília,53,Distrito Federal,62,349,62,349,1
230440005190073,23044000319,Caça e Pesca/Barra do cocó,2304400,Fortaleza,23,Ceará,503,1321,702,1697,30
351350405000114,35135040014,Pinhal do Miranda,3513504,Cubatão,35,São Paulo,12,80,3123,7995,92
150080005000089,15008000017,Atalaia,1500800,Ananindeua,15,Pará,124,448,723,2460,43
250320905000160,25032090017,Recanto do Poço,2503209,Cabedelo,25,Paraíba,25,51,282,572,12
260790105000851,26079010127,Coquinho,2607901,Jaboatão dos Guararapes,26,Pernambuco,132,567,849,2381,33
250320905000062,25032090017,Recanto do Poço,2503209,Cabedelo,25,Paraíba,25,51,282,572,12
320120905000153,32012090013,Rubem Braga,3201209,Cachoeiro de Itapemirim,32,Espírito Santo,38,71,516,1194,49
330455705210905,33045570715,Vila Nova Esperança,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
221100105080069,22110010206,Vila Risoleta Neves,2211001,Teresina,22,Piauí,170,369,173,372,3
330020905000162,33002090020,Conjunto Vila Branca,3300209,Araruama,33,Rio de Janeiro,37,77,1724,4895,53
330580205000372,33058020024,Jardim Meudom,3305802,Teresópolis,33,Rio de Janeiro,49,141,1724,4895,53
221100105080110,22110010031,Vila Monte Alegre,2211001,Teresina,22,Piauí,170,369,173,372,3
431340905000705,43134090019,Vila das Flores,4313409,Novo Hamburgo,43,Rio Grande do Sul,54,84,481,901,53
330455705110424,33045570077,Vidigal,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
530010805340039,53001080079,Santa Luzia,5300108,Brasília,53,Distrito Federal,62,349,62,349,1
330020905000308,33002090026,Multirão Parque das Acácias,3300209,Araruama,33,Rio de Janeiro,37,77,1724,4895,53
330455705380018,33045570519,Santa Efigênia,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
230428505000088,23042850005,Canto Verde,2304285,Eusébio,23,Ceará,6,9,702,1697,30
292740805230040,29274080187,Colina de Mussurunga,2927408,Salvador,29,Bahia,262,1822,572,2484,28
355030830001451,35503080498,Cocaia I,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
230440005160160,23044000664,Rua Semente Coité,2304400,Fortaleza,23,Ceará,503,1321,702,1697,30
130260305100261,13026030166,Comunidade Parque Mauá,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
354780905001167,35478090112,Havana,3547809,Santo André,35,São Paulo,76,210,3123,7995,92
355030811000612,35503080100,Vitoria Regia,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
292740805150111,29274080154,São Bartolomeu I,2927408,Salvador,29,Bahia,262,1822,572,2484,28
260290220000055,26029020021,Sítio Tomáz - Cepovo,2602902,Cabo de Santo Agostinho,26,Pernambuco,59,212,849,2381,33
330030805000220,33003080002,Cantão,3300308,Barra do Piraí,33,Rio de Janeiro,4,7,1724,4895,53
355030834000117,35503080012,Heliópolis,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
355030876000361,35503080179,Jardim Maria Terezinha,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
292740805270366,29274080308,Vila Brandão,2927408,Salvador,29,Bahia,262,1822,572,2484,28
351500405000827,35150040063,Guaíba,3515004,Embu das Artes,35,São Paulo,59,120,3123,7995,92
330010015000212,33001000014,Banqueta,3300100,Angra dos Reis,33,Rio de Janeiro,55,157,1724,4895,53
354850005001299,35485000070,Vale do Quilombo,3548500,Santos,35,São Paulo,46,111,3123,7995,92
355030876000491,35503082180,Jardim Planalto I II e III,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
210750605000064,21075060031,Vila São José II,2107506,Paço do Lumiar,21,Maranhão,32,86,198,872,14
355030889000176,35503081183,Cidade Nova,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
130260305060127,13026030194,Igarapé do Mestre Chico A,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
292740805220205,29274080129,Saramandaia,2927408,Salvador,29,Bahia,262,1822,572,2484,28
330455705210250,33045570278,Rua Quiririm,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
330455705390113,33045570270,Parque Proletário de Vigário Geral,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
355030813000014,35503080197,Peri Novo II,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
330020908000085,33002090004,Beira Rio,3300209,Araruama,33,Rio de Janeiro,37,77,1724,4895,53
260290205000167,26029020033,Alto do Colégio - Madre Iva,2602902,Cabo de Santo Agostinho,26,Pernambuco,59,212,849,2381,33
355030830001056,35503080625,Parque Recanto Cocaia,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
355650305000108,35565030002,Vila Real,3556503,Várzea Paulista,35,São Paulo,3,28,3123,7995,92
211130005000140,21113000013,Ilhinha,2111300,São Luís,21,Maranhão,100,548,198,872,14
291360605000169,29136060003,Teotônio Vilela,2913606,Ilhéus,29,Bahia,22,122,572,2484,28
330455705170134,33045570227,Bairro Ouro Preto,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
130260305080233,13026030182,Conjunto Lírio do Vale,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
211130005000306,21113000079,João de Deus,2111300,São Luís,21,Maranhão,100,548,198,872,14
431490205000520,43149020118,Vila Maria da Conceição,4314902,Porto Alegre,43,Rio Grande do Sul,125,323,481,901,53
317020605000808,31702060003,Santa Clara,3170206,Uberlândia,31,Minas Gerais,24,76,653,1691,59
310620005650215,31062000037,Vila Califórnia,3106200,Belo Horizonte,31,Minas Gerais,218,702,653,1691,59
330330205000837,33033020071,Morro Bela Vista A,3303302,Niterói,33,Rio de Janeiro,83,209,1724,4895,53
313520905000088,31352090002,Aterro da Copasa,3135209,Januária,31,Minas Gerais,3,3,653,1691,59
310670505010068,31067050016,VIla Jardim Petrópolis,3106705,Betim,31,Minas Gerais,33,115,653,1691,59
293070905000190,29307090007,São Miguel e João Aragão ou Portelinha,2930709,Simões Filho,29,Bahia,12,18,572,2484,28
150140260000138,15014020036,Área de Brasília,1501402,Belém,15,Pará,214,1156,723,2460,43
313130710000240,31313070033,Limoeiro B,3131307,Ipatinga,31,Minas Gerais,19,52,653,1691,59
351880010000021,35188000096,Parque Jandaia,3518800,Guarulhos,35,São Paulo,170,403,3123,7995,92
350900705000195,35090070011,Olaria,3509007,Caieiras,35,São Paulo,10,16,3123,7995,92
292740805180492,29274080182,Democrático,2927408,Salvador,29,Bahia,262,1822,572,2484,28
310620005660008,31062000089,Vila São Tomáz,3106200,Belo Horizonte,31,Minas Gerais,218,702,653,1691,59
330010015000048,33001000013,Vila Nova,3300100,Angra dos Reis,33,Rio de Janeiro,55,157,1724,4895,53
230440005240023,23044000516,Rua Francisco Machado,2304400,Fortaleza,23,Ceará,503,1321,702,1697,30
230765005000313,23076500015,Alto da Mangueira II,2307650,Maracanaú,23,Ceará,16,23,702,1697,30
310620060660431,31062000327,Vitória,3106200,Belo Horizonte,31,Minas Gerais,218,702,653,1691,59
170210905000315,17021090016,Vila Goiás (Araguaína Sul),1702109,Araguaína,17,Tocantins,12,24,39,92,6
355030843000764,35503080191,Jardim Planalto,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
130340305000123,13034030004,Lago da Francesa,1303403,Parintins,13,Amazonas,16,37,392,2019,30
150140267000077,15014020062,São João do Outeiro I,1501402,Belém,15,Pará,214,1156,723,2460,43
330455705270179,33045570676,Parque Tiradentes,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
260680405000192,26068040014,Bonfim II - Nossa Senhora de Fátima,2606804,Igarassu,26,Pernambuco,25,43,849,2381,33
315670005000124,31567000003,Alto Cabral,3156700,Sabará,31,Minas Gerais,6,16,653,1691,59
292740805220738,29274080295,Beiru / Tancredo Neves,2927408,Salvador,29,Bahia,262,1822,572,2484,28
354850005000063,35485000034,Lomba da Penha,3548500,Santos,35,São Paulo,46,111,3123,7995,92
290650105000040,29065010009,Sarandi,2906501,Candeias,29,Bahia,9,28,572,2484,28
355700605000111,35570060005,Santo Antônio,3557006,Votorantim,35,São Paulo,9,13,3123,7995,92
411990505000300,41199050012,Vila Real,4119905,Ponta Grossa,41,Paraná,64,88,636,937,41
330580205000423,33058020042,Parque São Luiz,3305802,Teresópolis,33,Rio de Janeiro,49,141,1724,4895,53
320490605000107,32049060025,Vila Verde,3204906,São Mateus,32,Espírito Santo,28,54,516,1194,49
355030842000643,35503080981,Elísio Teixeira Leite,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
313670205090097,31367020046,Rua Felipe José,3136702,Juiz de Fora,31,Minas Gerais,37,49,653,1691,59
320320505000015,32032050020,Interlagos C,3203205,Linhares,32,Espírito Santo,17,26,516,1194,49
330455705170068,33045570241,Dois de Maio,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
330580205000428,33058020038,Iconha,3305802,Teresópolis,33,Rio de Janeiro,49,141,1724,4895,53
130260305090034,13026030022,Igarapé da Cachoeirinha,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
130260305120531,13026030069,Monte das Oliveiras,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
150080005000395,15008000084,Nova Helderlândia,1500800,Ananindeua,15,Pará,124,448,723,2460,43
320520015000123,32052000047,Vila Guaranhuns,3205200,Vila Velha,32,Espírito Santo,61,188,516,1194,49
130190205000204,13019020009,Área dos Igarapés,1301902,Itacoatiara,13,Amazonas,17,48,392,2019,30
330510910000270,33051090027,Dique I,3305109,São João de Meriti,33,Rio de Janeiro,35,80,1724,4895,53
260290220000138,26029020050,Comunidade da Cacimba - Itapuama,2602902,Cabo de Santo Agostinho,26,Pernambuco,59,212,849,2381,33
260720815000083,26072080010,Comunidade do Campo de Maracaípe,2607208,Ipojuca,26,Pernambuco,12,28,849,2381,33
351380105000184,35138010054,Marilene/Afonso Pena,3513801,Diadema,35,São Paulo,109,203,3123,7995,92
353440105000613,35344010042,Vila Menck - AY,3534401,Osasco,35,São Paulo,84,204,3123,7995,92
330340105000418,33034010001,Cordoeira,3303401,Nova Friburgo,33,Rio de Janeiro,7,20,1724,4895,53
355030843000412,35503081276,Parque Cavalo Branco,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
355030846000585,35503080543,Jardim Fim de Semana,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
330455705290500,33045570244,Canal das Tachas,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
354870805000410,35487080038,Vila Boa Vista/Santana,3548708,São Bernardo do Campo,35,São Paulo,94,305,3123,7995,92
230440005200196,23044000074,Jardim Violeta ou Rua Almeida Rego,2304400,Fortaleza,23,Ceará,503,1321,702,1697,30
320130805000142,32013080082,Tucum,3201308,Cariacica,32,Espírito Santo,79,187,516,1194,49
230440005140439,23044000342,Brisa da Praia,2304400,Fortaleza,23,Ceará,503,1321,702,1697,30
431340905000668,43134090044,Capanema,4313409,Novo Hamburgo,43,Rio Grande do Sul,54,84,481,901,53
211120110000024,21112010041,Jardim Tropical,2111201,São José de Ribamar,21,Maranhão,30,164,198,872,14
270430205090214,27043020168,Rua Nova,2704302,Maceió,27,Alagoas,192,339,251,413,17
330630505000587,33063050095,Campinho I,3306305,Volta Redonda,33,Rio de Janeiro,59,101,1724,4895,53
251370305000085,25137030011,Comunidade Jardim Carolina,2513703,Santa Rita,25,Paraíba,11,35,282,572,12
330100905070046,33010090010,Tira-Gosto,3301009,Campos dos Goytacazes,33,Rio de Janeiro,30,52,1724,4895,53
355030819000538,35503081325,Jardim Walquíria I,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
330330205001420,33033020003,Morro do Palácio,3303302,Niterói,33,Rio de Janeiro,83,209,1724,4895,53
330455705090444,33045570001,Cerro-Corá,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
211130005001426,21113000076,Ivaldo Rodrigues,2111300,São Luís,21,Maranhão,100,548,198,872,14
130260305140207,13026030037,Loteamento João Paulo,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
291080005070114,29108000014,Gabriela I,2910800,Feira de Santana,29,Bahia,49,79,572,2484,28
314330205000232,31433020035,Ciro dos Anjos,3143302,Montes Claros,31,Minas Gerais,27,41,653,1691,59
150140267000075,15014020061,Brasília,1501402,Belém,15,Pará,214,1156,723,2460,43
270430205120363,27043020267,Rua Jose Lobo De Medeiros,2704302,Maceió,27,Alagoas,192,339,251,413,17
150140260000215,15014020108,Baixada da Agulha,1501402,Belém,15,Pará,214,1156,723,2460,43
355030830001478,35503081305,Paraguai/Jardim Marilda,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
350950235000218,35095020074,Morro São Judas Tadeu,3509502,Campinas,35,São Paulo,118,302,3123,7995,92
410310705000033,41031070004,Jardim Iolanda,4103107,Bocaiúva do Sul,41,Paraná,8,10,636,937,41
320520015080057,32052000022,Cobilândia/Canal A,3205200,Vila Velha,32,Espírito Santo,61,188,516,1194,49
292740805160097,29274080254,Joana D'Arq,2927408,Salvador,29,Bahia,262,1822,572,2484,28
310620060660225,31062000097,Biquinhas,3106200,Belo Horizonte,31,Minas Gerais,218,702,653,1691,59
330250205000076,33025020028,Buraco Quente,3302502,Magé,33,Rio de Janeiro,25,52,1724,4895,53
330455705300208,33045570119,Bairro da Pedreira,3304557,Rio de Janeiro,33,Rio de Janeiro,813,2846,1724,4895,53
350950235000147,35095020072,Satélite Íris I,3509502,Campinas,35,São Paulo,118,302,3123,7995,92
292740805180682,29274080335,Tabela,2927408,Salvador,29,Bahia,262,1822,572,2484,28
351350405000326,35135040002,Vila dos Pescadores,3513504,Cubatão,35,São Paulo,12,80,3123,7995,92
130060705000039,13006070002,Baixada Fluminense,1300607,Benjamin Constant,13,Amazonas,3,8,392,2019,30
310620060640342,31062000334,Montes Claros,3106200,Belo Horizonte,31,Minas Gerais,218,702,653,1691,59
330350005100280,33035000146,Bairro Belmonte PAL 96/52,3303500,Nova Iguaçu,33,Rio de Janeiro,58,75,1724,4895,53
261070705000745,26107070032,Uruba,2610707,Paulista,26,Pernambuco,41,128,849,2381,33
355540605000446,35554060010,Rio Escuro,3555406,Ubatuba,35,São Paulo,18,42,3123,7995,92
221100105100114,22110010082,Irmã Dulce,2211001,Teresina,22,Piauí,170,369,173,372,3
410690205030341,41069020264,São Domingos,4106902,Curitiba,41,Paraná,166,254,636,937,41
411820405000152,41182040013,Ilha dos Valadares,4118204,Paranaguá,41,Paraná,42,97,636,937,41
150370505000100,15037050003,Bairro Vitória,1503705,Itupiranga,15,Pará,2,2,723,2460,43
292740805060295,29274080234,Santa Cruz,2927408,Salvador,29,Bahia,262,1822,572,2484,28
260790105000191,26079010063,Dom Helder,2607901,Jaboatão dos Guararapes,26,Pernambuco,132,567,849,2381,33
320530905070027,32053090071,Caratoíra A,3205309,Vitória,32,Espírito Santo,43,135,516,1194,49
292740805180334,29274080220,Loteamento Jardim Santo Inácio,2927408,Salvador,29,Bahia,262,1822,572,2484,28
353440105000142,35344010183,Cidade das Flores / Pestana - AF,3534401,Osasco,35,São Paulo,84,204,3123,7995,92
130260305080259,13026030134,Redenção A,1302603,Manaus,13,Amazonas,236,1697,392,2019,30
292740805180193,29274080332,Jardim Nova Esperança,2927408,Salvador,29,Bahia,262,1822,572,2484,28
411820405000155,41182040013,Ilha dos Valadares,4118204,Paranaguá,41,Paraná,42,97,636,937,41
291360605000043,29136060017,Luiz Gama e Região do João XXIII,2913606,Ilhéus,29,Bahia,22,122,572,2484,28
292740805270284,29274080316,Binóculo,2927408,Salvador,29,Bahia,262,1822,572,2484,28
355030813000175,35503080766,Futuro Melhor,3550308,São Paulo,35,São Paulo,1359,3875,3123,7995,92
150150105000106,15015010008,Maguari,1501501,Benevides,15,Pará,27,59,723,2460,43
351880005000693,35188000005,Jardim Marilena,3518800,Guarulhos,35,São Paulo,170,403,3123,7995,92
315460605000366,31546060018,Roma,3154606,Ribeirão das Neves,31,Minas Gerais,37,78,653,1691,59
320090405000092,32009040013,Irmãos Fernandes B,3200904,Barra de São Francisco,32,Espírito Santo,13,32,516,1194,49
353440105001554,35344010144,Colinas d'Oeste,3534401,Osasco,35,São Paulo,84,204,3123,7995,92
261160605230738,26116060425,Greve Geral,2611606,Recife,26,Pernambuco,295,779,849,2381,33
430460605000692,43046060039,Barca,4304606,Canoas,43,Rio Grande do Sul,10,17,481,901,53
292740805260113,29274080301,Valéria,2927408,Salvador,29,Bahia,262,1822,572,2484,28
150080005000324,15008000042,PAAR,1500800,Ananindeua,15,Pará,124,448,723,2460,43
520870705260080,52087070125,Jardim Novo Mundo  - Ch 99,5208707,Goiânia,52,Goiás,55,86,152,242,24
320120940000010,32012090031,Vargem Grande do Soturno A,3201209,Cachoeiro de Itapemirim,32,Espírito Santo,38,71,516,1194,49
130010205000040,13001020003,Vila Raimunda,1300102,Anori,13,Amazonas,3,6,392,2019,30
230440005160110,23044000553,Favela da Muriçoca,2304400,Fortaleza,23,Ceará,503,1321,702,1697,30
431490205001869,43149020158,Vila Asa Branca,4314902,Porto Alegre,43,Rio Grande do Sul,125,323,481,901,53
